UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,datetime,plant,temperature,humidity,rainfall,temp_gap,humidity_stress
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,2023-01-01 00:00:00,Plant_A,27.49,49.26,0.2,7.960000000000036,0.4926
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,2023-01-01 01:00:00,Plant_A,39.01,67.1,2.0,-3.4599999999999795,0.6709999999999999
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,2023-01-01 02:00:00,Plant_A,34.64,83.65,0.0,0.7100000000000364,0.8365
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,2023-01-01 03:00:00,Plant_A,31.97,76.61,2.0,3.480000000000018,0.7661
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,2023-01-01 04:00:00,Plant_A,23.12,80.33,0.2,12.430000000000007,0.8033
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,2023-01-01 05:00:00,Plant_A,23.12,72.94,1.0,12.330000000000041,0.7293999999999999
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,2023-01-01 06:00:00,Plant_A,21.16,74.61,0.0,14.29000000000002,0.7461
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,2023-01-01 07:00:00,Plant_A,37.32,82.46,1.0,-1.8699999999999477,0.8245999999999999
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,2023-01-01 08:00:00,Plant_A,32.02,52.48,2.0,3.5300000000000296,0.5247999999999999
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,2023-01-01 09:00:00,Plant_A,34.16,64.47,0.0,1.6900000000000546,0.6446999999999999
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,2023-01-01 10:00:00,Plant_A,20.41,51.06,0.0,15.339999999999975,0.5106
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,2023-01-01 11:00:00,Plant_A,39.4,89.38,0.5,-3.449999999999932,0.8937999999999999
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,2023-01-01 12:00:00,Plant_A,36.65,87.2,1.0,-0.6999999999999318,0.872
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,2023-01-01 13:00:00,Plant_A,24.25,41.97,0.2,11.800000000000011,0.41969999999999996
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,2023-01-01 14:00:00,Plant_A,23.64,75.28,0.0,12.410000000000025,0.7528
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,2023-01-01 15:00:00,Plant_A,23.67,86.26,0.5,12.379999999999995,0.8626
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,2023-01-01 16:00:00,Plant_A,26.08,49.03,0.2,9.970000000000027,0.4903
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,2023-01-01 17:00:00,Plant_A,30.5,68.4,0.0,5.550000000000011,0.684
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,2023-01-01 18:00:00,Plant_A,28.64,85.77,0.2,7.410000000000025,0.8576999999999999
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,2023-01-01 19:00:00,Plant_A,25.82,41.7,0.0,10.330000000000041,0.41700000000000004
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,2023-01-01 20:00:00,Plant_A,32.24,74.87,0.0,3.910000000000025,0.7487
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,2023-01-01 21:00:00,Plant_A,22.79,54.87,0.0,13.360000000000014,0.5487
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,2023-01-01 22:00:00,Plant_A,25.84,86.22,0.0,10.31000000000006,0.8622
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,2023-01-01 23:00:00,Plant_A,27.33,88.55,0.5,8.920000000000016,0.8855
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,2023-01-02 00:00:00,Plant_A,29.12,87.21,0.2,7.1299999999999955,0.8721
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,2023-01-02 01:00:00,Plant_A,35.7,63.71,0.0,0.6500000000000341,0.6371
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,2023-01-02 02:00:00,Plant_A,23.99,83.1,0.0,12.360000000000014,0.831
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,2023-01-02 03:00:00,Plant_A,30.28,82.23,0.0,5.970000000000027,0.8223
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,2023-01-02 04:00:00,Plant_A,31.85,55.96,2.0,4.399999999999977,0.5596
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,2023-01-02 05:00:00,Plant_A,20.93,81.45,1.0,15.319999999999993,0.8145
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,2023-01-02 06:00:00,Plant_A,32.15,41.85,2.0,4.2000000000000455,0.41850000000000004
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,2023-01-02 07:00:00,Plant_A,23.41,69.81,2.0,12.839999999999975,0.6981
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,2023-01-02 08:00:00,Plant_A,21.3,51.5,0.0,14.949999999999989,0.515
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,2023-01-02 09:00:00,Plant_A,38.98,46.03,0.0,-2.829999999999984,0.4603
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,2023-01-02 10:00:00,Plant_A,39.31,43.85,0.2,-3.359999999999957,0.4385
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,2023-01-02 11:00:00,Plant_A,36.17,74.81,2.0,-0.12000000000000455,0.7481
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,2023-01-02 12:00:00,Plant_A,26.09,56.99,2.0,9.960000000000036,0.5699000000000001
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,2023-01-02 13:00:00,Plant_A,21.95,76.24,0.5,14.000000000000057,0.7624
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,2023-01-02 14:00:00,Plant_A,33.68,43.27,0.0,2.3700000000000045,0.43270000000000003
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,2023-01-02 15:00:00,Plant_A,28.8,55.76,0.0,7.150000000000034,0.5576
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,2023-01-02 16:00:00,Plant_A,22.44,66.97,0.2,13.510000000000048,0.6697
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,2023-01-02 17:00:00,Plant_A,29.9,79.54,1.0,6.050000000000068,0.7954000000000001
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,2023-01-02 18:00:00,Plant_A,20.69,55.94,0.0,15.260000000000048,0.5594
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,2023-01-02 19:00:00,Plant_A,38.19,71.29,0.5,-2.1399999999999864,0.7129000000000001
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,2023-01-02 20:00:00,Plant_A,25.18,84.3,0.0,10.770000000000039,0.843
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,2023-01-02 21:00:00,Plant_A,33.25,70.79,0.5,2.7000000000000455,0.7079000000000001
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,2023-01-02 22:00:00,Plant_A,26.23,51.65,0.0,9.620000000000005,0.5165
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,2023-01-02 23:00:00,Plant_A,30.4,41.22,0.5,5.550000000000068,0.4122
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,2023-01-03 00:00:00,Plant_A,30.93,83.5,0.0,5.1200000000000045,0.835
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,2023-01-03 01:00:00,Plant_A,23.7,41.06,2.0,12.350000000000023,0.4106
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,2023-01-03 02:00:00,Plant_A,39.39,83.74,0.0,-3.439999999999941,0.8373999999999999
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,2023-01-03 03:00:00,Plant_A,35.5,66.45,0.5,0.4500000000000455,0.6645
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,2023-01-03 04:00:00,Plant_A,38.79,86.95,0.0,-2.9399999999999977,0.8695
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,2023-01-03 05:00:00,Plant_A,37.9,79.94,0.0,-2.0499999999999545,0.7994
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,2023-01-03 06:00:00,Plant_A,31.96,89.9,0.0,3.890000000000043,0.899
